Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale	GP_regression.Gaussian_noise.variance
1.0	1.0883966062523769	0.17408892161518386	1.0999999980696617e-09
2.0	1.0883966062523769	0.17408892161518386	1.0999999980696617e-09
3.0	1.1491019962027227	0.14452730882342651	1.0060952648737865e-09
4.0	3.0760204874702928	0.4508947895730946	1.0134426066199243e-09
5.0	4.962793618666752	0.7862231535268557	1.0000000003699245e-09
6.0	2.8620867350047514	1.0449519895080601	1.0000000076743522e-09
7.0	2.1105124478180946	0.777570905026812	1.0067238185242127e-09
8.0	1.7353831117496554	0.87066215227159	1.0000000004017228e-09
9.0	1.1214593295142117	0.5669863619229931	1.001310871846753e-09
10.0	1.0265908385073388	0.397871041114035	1.0049175493780964e-09
11.0	0.6745601816428943	0.24941025435016795	1.0000003168560784e-09
12.0	0.5879670557811834	0.2595856624775506	1.099999994759362e-09
13.0	0.5896304699709359	0.27096342352286407	1.0999999971213438e-09
14.0	0.6170577832244485	0.27634569030134054	1.0101897631934153e-09
15.0	0.6006672572141736	0.27236518528623405	1.0105499733242371e-09
16.0	0.6591947391683918	0.27980624529715603	1.0125356105813876e-09
17.0	0.6607876463063119	0.28147480920867746	1.0119196849563494e-09
18.0	0.6491854780079449	0.27897763704256895	1.0000110700628342e-09
19.0	0.6689073853902219	0.27733271370491863	1.0999999939841548e-09
20.0	0.6847068981296573	0.2669985766204601	1.0260628319496524e-09
21.0	0.6932928998583943	0.261716983010675	1.099999994776827e-09
22.0	0.6838914006739701	0.2604303304158789	1.0397176969373624e-09
23.0	0.6736895415215494	0.2574873576774024	1.0247863924381477e-09
24.0	0.7111986506645992	0.2683154069248047	1.0293075771950556e-09
25.0	0.7078430979692463	0.26724809019259177	1.055413875862806e-09
26.0	0.702042722251711	0.2692836745551905	1.0377961066586404e-09
27.0	0.6851068445275209	0.26826201452812803	1.099999993600557e-09
28.0	0.6778869386352006	0.27707836425414023	1.070755302866751e-09
29.0	0.6977024681624734	0.2742905428579372	1.0158808532007949e-09
30.0	0.7009422542229853	0.2777500585479139	1.0999999940212487e-09
31.0	0.7156997636021596	0.28101328699083994	7.909431541469187e-05
32.0	0.6989472113899003	0.2776064502727731	8.062472644414879e-05
33.0	0.6834811073082094	0.2792237424537868	8.463048661206144e-05
34.0	0.7143967808014912	0.28931103007778936	0.00010189198590141566
35.0	0.7999741240200474	0.2855637576301551	8.327254562082033e-05
36.0	0.8218824051335099	0.2895233702495877	9.020343988828936e-05
37.0	0.8198452122433986	0.29131029182377416	9.284693316579573e-05
38.0	0.8397767023254279	0.26554621926024485	5.4600627649839036e-05
39.0	0.9050610743554807	0.40738694998006747	0.05646776403221013
40.0	0.8476529328736124	0.1805329831480042	1.0182024678028423e-09
41.0	0.8758257684739623	0.1844347777419682	1.0080746231077861e-09
42.0	0.897629018121104	0.18767133007825654	1.006327775974632e-09
43.0	0.8795513436775012	0.1861529672430525	1.0080882786347992e-09
44.0	0.8944658573202922	0.18599350623058267	1.099999968567455e-09
45.0	0.9184729535624686	0.19023165136994663	1.0999999649785786e-09
46.0	0.9024062134729218	0.19061027460918106	1.0999999624618208e-09
47.0	0.8811298428759202	0.1892208216140474	1.0082191091633147e-09
48.0	0.9699373910696405	0.4089691602649467	0.050007267710794966
49.0	0.921994931721261	0.19500354501657519	3.928672214390301e-06
50.0	0.9314971006202448	0.19484498320350993	3.987297362550817e-06
51.0	0.9338288227849889	0.19369762020045048	4.041467939487281e-06
52.0	0.9396970058357494	0.19442742127486487	4.139382491543317e-06
53.0	0.9576271292714688	0.19805742118433983	4.697898469278874e-06
54.0	0.9735961783465605	0.1975971521831695	4.580177447400859e-06
55.0	0.9897212394405014	0.19962729606401786	4.690594436267011e-06
56.0	0.9733377620697361	0.2027035949014576	4.557408572963953e-06
57.0	0.9591119466156219	0.20192779546019254	4.615788853397532e-06
58.0	0.9415217980699855	0.20396655369456784	4.458300241342074e-06
59.0	0.9212093043034426	0.20268450667126156	4.500957787456983e-06
60.0	0.9316148836263627	0.20406175265591997	4.58836247800675e-06
61.0	0.9109047756987124	0.2048477284982309	4.532491729665774e-06
62.0	0.8977783865433877	0.20411539043682247	4.589774780604668e-06
63.0	0.8841440086583684	0.2032084797687001	4.619308561292376e-06
64.0	0.8632841998557386	0.20368390030269212	4.580961385070125e-06
65.0	0.8437762990441728	0.20295606976367672	4.59693575882545e-06
66.0	1.0194599097569421	0.476056906848244	0.051976028157965974
67.0	1.020603474204239	0.4729925479267243	0.048946356491589904
68.0	0.8556372107116839	0.1952657492211954	1.000133161095971e-09
69.0	0.8696217516366764	0.19798659609942898	1.0999558551289935e-09
70.0	0.8997865092581375	0.18998415217681922	1.0000074743207172e-09
71.0	0.8928673017223918	0.1860373842975671	1.0000484751464275e-09
72.0	0.9083850910376208	0.1863633911216178	1.0000029117411476e-09
73.0	0.8977465518175175	0.18599875917444525	1.0000040539683968e-09
74.0	0.881979598013467	0.18538130735050085	1.0000040425623233e-09
75.0	0.8825442274588827	0.18540830558909832	1.0000078666281417e-09
76.0	0.8621630994106335	0.18538521333030802	1.0001711755861882e-09
77.0	0.8766978828712118	0.18632660237593565	1.0000076147185915e-09
78.0	0.8866143428617289	0.18650187192193943	1.0000042423498916e-09
79.0	0.8677549589299757	0.18677367897706793	1.0000609468891078e-09
80.0	0.8624287999482316	0.18511370921325085	1.0000058454216747e-09
81.0	0.8700336717901959	0.18595805345139124	1.0999700160350747e-09
82.0	0.8531926788334306	0.18534396301948036	1.0002153758169317e-09
83.0	0.8466931645537941	0.18494244187366987	1.0001016134952602e-09
84.0	0.8551277214369865	0.18659004351001213	1.0999710468835135e-09
85.0	0.8547011137693664	0.18623730719044138	1.0000096370003188e-09
86.0	0.864048312625911	0.18675838519192542	1.000000089466492e-09
87.0	0.8724408442365128	0.18675396141309925	1.0000090907607773e-09
88.0	0.885962905735317	0.18811296694759527	1.0000147671995927e-09
89.0	0.8968539899877135	0.18969326467951803	1.0001130920888168e-09
90.0	0.898848874895674	0.18992374599238468	1.0000047873383182e-09
91.0	0.8778240857943995	0.19024200322233295	1.0000056404282895e-09
92.0	0.8778281103260193	0.1903301173772547	1.0000168326783268e-09
93.0	0.8881752508895462	0.19209098179353484	1.0000078748582765e-09
94.0	0.8745842323690995	0.19149430295480843	1.0000049087834113e-09
95.0	0.8818975048607035	0.1932488659857579	1.099965584221001e-09
96.0	0.8923385943838138	0.19422227186810398	1.0000050282424781e-09
97.0	0.8882238957537801	0.19408754072847098	1.0999636820605194e-09
98.0	0.86804790423329	0.1936547932269998	1.099972051172882e-09
99.0	0.8769935320475306	0.19449786552696594	1.0000238632506582e-09
100.0	0.9230466895279495	0.19413187644180332	1.0999644483655624e-09
101.0	0.9535315408416746	0.1901831791732146	1.0000044506911814e-09
102.0	1.1387070037092875	0.4577036857726432	0.050357254148831396
103.0	1.1383277580893	0.4552060407107301	0.04862311017148154
104.0	1.1382899948472303	0.45274375745539897	0.04696931663290553
105.0	1.138519876897599	0.450280570969103	0.0453875278571609
106.0	1.1389534539207693	0.4477853204407838	0.04386991621437682
107.0	0.974302708263467	0.1647558308945404	1.0000016813487683e-09
108.0	0.9804888115668463	0.165851840657565	1.0000016625957831e-09
109.0	0.9651127150123068	0.16554278308795375	1.0000005096913182e-09
110.0	0.9480007831088325	0.165066334939256	1.0000006828858849e-09
111.0	0.9315256063786034	0.1645924240058574	1.0000015185743641e-09
112.0	0.9176801010885698	0.1641045125320496	1.0000565708518217e-09
113.0	0.9173681676215596	0.16417937590845627	1.0000005057224036e-09
114.0	0.9007492020503578	0.16381458542832114	1.0000005701967812e-09
115.0	0.9049252530153578	0.16407605737065353	1.0000008368557761e-09
116.0	0.9105067375127734	0.16502387580666358	1.0000116482711988e-09
117.0	0.889825319007734	0.16501488804912076	1.000000782594405e-09
118.0	0.8868430268468503	0.16479898886387004	1.0000011612716831e-09
119.0	0.8814947686128649	0.16462741137549416	1.00000130239896e-09
120.0	0.8795995585581405	0.16456471424342914	1.000003119844739e-09
121.0	0.8779934356933213	0.16457489856071508	1.000000522184159e-09
122.0	0.8685365643536581	0.16427496645114112	1.0000041155049442e-09
123.0	0.8757283512399267	0.16507772998246376	1.000001674146762e-09
124.0	0.8830005126116395	0.16593486966498935	1.000001662996381e-09
125.0	0.8735043997974288	0.16560511072481693	1.0000005804891708e-09
126.0	0.8746860950202489	0.16510596423580126	1.0000011553015162e-09
127.0	0.8866128884910565	0.16437681665142528	1.000000749029139e-09
128.0	0.8938646272673162	0.1652445724100994	1.0000010640175933e-09
129.0	0.8776138489475199	0.16480867788857614	1.0000035934490718e-09
130.0	0.8802829983942011	0.16407946714892624	1.0000068666293625e-09
131.0	0.8676347208324215	0.16371512370984473	1.0000007865753844e-09
132.0	0.8744783512721909	0.16485451398004436	1.000000712202369e-09
133.0	0.860388057069801	0.1644540840137	1.0000003148084356e-09
134.0	0.8662651146678272	0.16494267603704632	1.0000112310358138e-09
135.0	0.8499532031686808	0.1650606965688631	1.0000007255738645e-09
136.0	0.8401390906663911	0.1647537847992127	1.000000655764404e-09
137.0	0.8426797643630057	0.16502904033687268	1.000002822756407e-09
138.0	0.843176793941827	0.16515525203795484	1.0000008900782934e-09
139.0	0.846913329780935	0.1657923755375246	1.000000615762624e-09
140.0	0.8394815316973743	0.1655717574585081	1.0000013677131977e-09
141.0	0.8230710971279311	0.1655925522699036	1.00000100028428e-09
142.0	0.8287735694112396	0.16613930637212668	1.0000013489461254e-09
