Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale
210.0	0.5497955542878586	0.014599730045656132	1e-06
211.0	0.5480811523902853	0.014571634251552858	1e-06
212.0	0.5463919744733192	0.014552234531620278	1e-06
213.0	0.5461273732920884	0.01453772275435062	1e-06
214.0	0.5444452904287767	0.014516405114430374	1e-06
215.0	0.5428179991008506	0.014490039447811163	1e-06
216.0	0.5412181266463598	0.014463886882399003	1e-06
217.0	0.5396330789809367	0.014438528988269021	1e-06
218.0	0.5420882776218648	0.014410145942426088	1e-06
219.0	0.5408939360208773	0.014382464961952428	1e-06
220.0	0.54134852591898	0.014547455672714605	1e-06
221.0	0.5397170881722342	0.014521096942438071	1e-06
222.0	0.5410425158073617	0.014728636291961361	1e-06
223.0	0.5393537928717571	0.01470180238124262	1e-06
224.0	0.538006310250789	0.014672414722909873	1e-06
225.0	0.5366723308286434	0.014643428557613098	1e-06
226.0	0.5353267986480365	0.014614842613842561	1e-06
227.0	0.5337166010554864	0.014594375919148741	1e-06
228.0	0.5321408446555518	0.014568472313359213	1e-06
229.0	0.5305753553735936	0.014543656991449957	1e-06
230.0	0.5293576243866891	0.014516304835238853	1e-06
231.0	0.527843676224785	0.014491583410497158	1e-06
232.0	0.5266196377958637	0.014464880724564873	1e-06
233.0	0.5254888691775791	0.014438474820716321	1e-06
234.0	0.5240891110954611	0.014413534681314899	1e-06
235.0	0.5226443817396343	0.014389633882250032	1e-06
236.0	0.5212235643427481	0.014366393231005505	1e-06
237.0	0.5197881173669472	0.014346499962943739	1e-06
238.0	0.5183961251384663	0.014324005147664125	1e-06
239.0	0.5172023206146092	0.014299557573164819	1e-06
240.0	0.5158252825139187	0.01427861569252971	1e-06
241.0	0.5146981681803413	0.01425465923923408	1e-06
