Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale
1.0	1.0573035887888849	0.1417265726082858	1e-06
2.0	1.0573035887888849	0.1417265726082858	1e-06
3.0	1.0072182978119617	0.0601561586027363	1e-06
4.0	0.9948546822406079	0.05230174912847	1e-06
5.0	0.9839726361977613	0.012454569336206055	1e-06
6.0	0.9823288568775917	0.012612753181503907	1e-06
7.0	0.7460137220531637	0.005548192981864325	1e-06
8.0	0.7429413972185389	0.005510670983451573	1e-06
9.0	0.7413212337027664	0.00547066898520677	1e-06
10.0	0.7381863877088737	0.005452579563020719	1e-06
11.0	0.7449632697240121	0.005407083682918126	1e-06
12.0	0.7467781140579023	0.005369211666215533	1e-06
13.0	0.7449543495904963	0.005381198659480819	1e-06
14.0	0.760374015217122	0.005347934358372935	1e-06
15.0	0.7681280310954098	0.005312415868489693	1e-06
16.0	0.7671346294183472	0.005292357483417382	1e-06
17.0	0.7660996500023707	0.005274990492955766	1e-06
18.0	0.7658340915001886	0.005294595428664096	1e-06
19.0	0.7651499610978343	0.005278065336889798	1e-06
20.0	0.765599538120606	0.005257975531799741	1e-06
21.0	0.764347655335741	0.005255849188702285	1e-06
22.0	0.7634237603978354	0.005245920629898908	1e-06
23.0	0.7631394555751033	0.005232313565337555	1e-06
24.0	0.7622840383075863	0.005224309900526389	1e-06
25.0	0.7615120026913127	0.005216430726976278	1e-06
26.0	0.7614747699107497	0.0052043408768075216	1e-06
27.0	0.766527278439396	0.005244852819540966	1e-06
28.0	0.780468497309608	0.005229640411741506	1e-06
29.0	0.7802283188425511	0.005219293859671317	1e-06
30.0	0.7797373646781498	0.005211555614796304	1e-06
31.0	0.7794472723903406	0.00520281384879621	1e-06
32.0	0.7789650127983178	0.005205673533190675	1e-06
33.0	0.7786069142237185	0.005198503173168958	1e-06
34.0	0.7783071953335977	0.005202907739478647	1e-06
35.0	0.7890059476577527	0.005189788387368904	1e-06
36.0	0.7966739061592635	0.005238396588549459	1e-06
37.0	0.7969571509844546	0.005228269538433323	1e-06
38.0	0.7966411590987625	0.005222042207913682	1e-06
39.0	0.7969649861601869	0.005231314867105493	1e-06
40.0	0.7999483992082054	0.005219125110210014	1e-06
41.0	0.7999850179224288	0.005211309579285538	1e-06
42.0	0.7998486111349212	0.005215498657010015	1e-06
43.0	0.8000174341686436	0.005207631372467515	1e-06
44.0	0.7997676554439781	0.005202709925444014	1e-06
45.0	0.7994790700378045	0.0051985686101414415	1e-06
46.0	0.7999975251266445	0.005190346401053124	1e-06
47.0	0.8000161092240312	0.005195018897237869	1e-06
48.0	0.7998104558873772	0.0051969874954308215	1e-06
49.0	0.7998297872345387	0.0052013008577986375	1e-06
50.0	0.7998980372764597	0.005195451978749597	1e-06
51.0	0.7996582040613599	0.005196293903653218	1e-06
52.0	0.8045196325732373	0.005223893443099468	1e-06
53.0	0.8065301520019308	0.005214468196913597	1e-06
54.0	0.8094176409339333	0.005234291476840525	1e-06
55.0	0.8105703686092113	0.005245806269291158	1e-06
56.0	0.8105097879066526	0.0052411909196816335	1e-06
57.0	0.8105376229647283	0.005236179884692238	1e-06
58.0	0.8104428555324975	0.005232143355705538	1e-06
59.0	0.8102181030359008	0.005230180549522644	1e-06
60.0	0.8100138132822716	0.005230182932933742	1e-06
61.0	0.8123993475143917	0.005221762914999832	1e-06
62.0	0.8126847427302054	0.0052162639030474784	1e-06
63.0	0.8139084673293131	0.005208982155238116	1e-06
64.0	0.81532326478672	0.005201811056279393	1e-06
65.0	0.8153256980319288	0.005204368993231722	1e-06
66.0	0.8151819212619514	0.005204985978786166	1e-06
67.0	0.8172805855865104	0.0051974612297843266	1e-06
68.0	0.8172035547485785	0.005194401111765883	1e-06
