Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale	GP_regression.Gaussian_noise.variance
1.0	1.0774962917978887	0.06334956286063456	1.2482322341872427e-07
2.0	1.0774962917978887	0.06334956286063456	1.2482322341872427e-07
3.0	1.0934351755554719	0.07732412696785787	6.480780800896445e-09
4.0	1.177000750804255	0.09678374076228666	2.9469848888313635e-09
5.0	1.155357690875279	0.08817505611941243	2.946984840307344e-09
6.0	1.1457402319772636	0.07686091715646351	2.9469848013443885e-09
7.0	1.1202189360861665	0.07225195353156053	2.9469847717582556e-09
8.0	0.9222214755646096	0.09358548610379683	0.25287161658023055
9.0	1.0249932187082003	0.09847529821556181	0.20305095535865525
10.0	0.8823033020282665	0.07593080651599027	0.24081976848528833
11.0	0.7915082134772898	0.0804151422581623	0.3567481614725855
12.0	0.7074350035016997	0.07588510794762852	0.4338974967876586
13.0	0.5010575557469933	0.06827663459708615	0.5797934266931067
14.0	0.6481213506310732	0.07836519951503192	0.5066078644874111
15.0	0.8365891870929937	0.0970580884286461	0.44595974852665926
16.0	1.0049206806121143	0.11248235509521681	0.3999322407099982
17.0	1.15748770888673	0.12574314904419623	0.36244151318931517
18.0	1.1850704647221109	0.13246413295400736	0.37633466253702197
19.0	1.270985769683417	0.13808789163344795	0.36848145779676417
20.0	1.3810572298434753	0.1420188487708282	0.3476287457586105
21.0	1.2881899010311884	0.1404032344334239	0.3600088687568151
22.0	1.723632178257172	0.24238987721153615	0.369212726337482
23.0	1.6430778531767116	0.2543962371079125	0.3954286213724345
24.0	0.9924206761669325	0.08707399173528414	0.379893335060959
25.0	1.0201527159236836	0.12544079841684191	0.4406256827423521
26.0	1.439761454210273	0.26204619006978314	0.4781298431114958
27.0	1.6213680993182047	0.3039437757054042	0.4766368362461281
28.0	1.141576594622367	0.16195387960679475	0.46756214795683537
29.0	1.2545360583856768	0.18966112929207055	0.46752142815945846
30.0	1.1430185181870276	0.15891549305369887	0.4649799060813376
31.0	1.252954726056642	0.17976706529995684	0.46036856811152244
32.0	1.1864930593503584	0.1992783493136026	0.5156215297150925
33.0	0.996321782470698	0.16095806052193115	0.5136060876024171
34.0	1.010201073877717	0.22079840939962647	0.5783578091154665
35.0	1.0925784166453159	0.21898039093448893	0.555915746918866
36.0	1.0783367286959533	0.24082749160559885	0.5879162051936103
37.0	1.140371845269296	0.24269274417680078	0.5792485572849513
38.0	1.2087211756870553	0.251509939570132	0.5714499510987193
39.0	1.2799976831203472	0.25272594868450426	0.5592664861136463
40.0	1.3384119475666247	0.2534443073040798	0.5526223917534838
41.0	1.3331343921159733	0.25921575074929926	0.569071392849705
42.0	1.3867237041942084	0.2595354756539714	0.563770068463754
43.0	1.4344120337629678	0.2674621727088649	0.5609516458950574
44.0	1.3700094668006206	0.2736980784495664	0.5913626750854639
45.0	1.2646056317448187	0.2860770799094619	0.6304373062197708
46.0	1.2272767585848492	0.2806318605439073	0.6444006305535442
47.0	1.0947612468064492	0.2878325858283487	0.6838948220416416
48.0	1.1445675050988764	0.2871038780990529	0.6786189804866927
49.0	1.2086643797018959	0.28703763194807563	0.6700559454005377
50.0	1.2232516940862856	0.28722966624722424	0.6730218041027889
51.0	1.2528885824810392	0.2867368113923265	0.6724521709684183
52.0	1.3115190982289038	0.2883910009974011	0.6649857629390383
53.0	1.3589588411435107	0.2871443392290052	0.660560406853719
54.0	1.4057483529057448	0.2840276770864083	0.6533498390429453
55.0	1.46002614366187	0.27906937462238807	0.6448874307947743
56.0	1.4559870413051397	0.30120906471872355	0.6627517970028831
57.0	1.472219661848839	0.2940279250833291	0.662320004409939
58.0	1.4923091493888405	0.2941872560565813	0.6642188978213834
59.0	1.5286947098473842	0.2929818122685458	0.6630497646369199
60.0	1.5847253392914014	0.3038711959406635	0.6620481294130912
61.0	1.5895156008798716	0.31593120076293274	0.6690139066536609
62.0	1.6492919605585425	0.3286243774547125	0.6676647029699692
63.0	1.6883123060506646	0.33120634682434363	0.6671438934088726
64.0	1.63116170733322	0.3287879339685252	0.679641361783196
65.0	1.6145087805114144	0.3267178610856518	0.6857452547580356
66.0	1.6363899255928733	0.3477473016759031	0.6912038567498081
67.0	1.4588768759879087	0.33048030578508747	0.7160423683777476
68.0	1.5071903883278486	0.3292354879297163	0.7121412534400375
69.0	1.5518359494970797	0.32755496967940784	0.7087770338048522
70.0	1.5497167695213765	0.32603501182377737	0.7124379279795238
71.0	1.5628540545162712	0.32470943461928703	0.7139071010129182
72.0	1.559329232449103	0.326149706899865	0.7197761065574466
73.0	1.6086430406956276	0.32418067393996364	0.7157616084588104
74.0	1.613229187513244	0.3201213952450268	0.7180859910988221
75.0	1.6626685215039712	0.31939455251697385	0.7133142217710865
76.0	1.6911214323473711	0.318608156757548	0.7129651159980561
77.0	1.6941439546650296	0.31990906781611733	0.7168888956713355
78.0	1.7251904437967185	0.318477756250893	0.7159180051194675
79.0	1.7127157694137343	0.32073281900733597	0.7220173132577953
80.0	1.7535572076332704	0.32303774521286804	0.7204660939034003
81.0	1.8000720992669317	0.3204724673220343	0.7169783755019287
82.0	1.8293237838718155	0.31891028744890887	0.7162371556388161
83.0	1.8637524935043233	0.32258657436010124	0.7161789824081897
84.0	1.9077486640032086	0.31296983223894476	0.710125184043758
85.0	1.9023669795294436	0.2685738104548809	0.693413569510021
86.0	1.1249520669043374	0.018066955078022865	0.42540427572908435
87.0	1.1173294377807679	0.018302430102441362	0.4199587902866059
