Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale	GP_regression.Gaussian_noise.variance
1.0	1.7826189125260914	0.9185454479180426	4.8178527802545774e-05
2.0	1.7826189125260914	0.9185454479180426	4.8178527802545774e-05
3.0	1.3839336594183678	0.8783770340309109	5.25521127493631e-05
4.0	1.9240778088379282	1.053557805421638	4.122529085423641e-05
5.0	2.537907454868055	1.202370337726924	3.675835116723125e-05
6.0	2.0794044472636037	1.1070161617031102	3.192660278542528e-05
7.0	3.0083752412233884	1.3456816014900095	0.0014073098274108393
8.0	1.3321136928515052	0.7460771569208249	3.531551659332374e-05
9.0	3.256197491704445	1.4099093946947048	0.0013394854507968663
10.0	1.1000278068398694	0.5679289760858244	1.000041595923194e-09
11.0	1.127011896235476	0.5536794836481465	1.0000473885608747e-09
12.0	1.1036541226844263	0.5481565864921366	1.0067427149446434e-09
13.0	3.7318000784846213	1.426623736662428	0.0014418777838551852
14.0	1.2129052565481049	0.5754449307814083	1.0000000000002662e-09
15.0	1.2913293079802475	0.5791606445407897	1.000026746994671e-09
16.0	1.2701876103654193	0.5730355036225375	1.0000014161818468e-09
17.0	1.3190254081124202	0.5820502406546543	1.0000002468874887e-09
18.0	1.4081356728347414	0.5936429727219628	1.000039806538627e-09
19.0	1.4889516784225247	0.6067942341793053	1.0000166087602372e-09
20.0	1.4824336596185774	0.6067810040831421	1.0000019745200728e-09
21.0	1.4103887936540553	0.6163349111724972	1.0000000000000052e-09
22.0	1.5164243793883903	0.6146195360995357	1.0000004424381688e-09
23.0	1.4881444302365499	0.6307742347926405	1.000001039261923e-09
24.0	1.586649327525218	0.6443413996081963	1.0000124121522844e-09
25.0	1.4588970878119218	0.6063741437002321	1.000002861028294e-09
26.0	1.3096957679206878	0.5178975761595096	1.0000022947699493e-09
27.0	1.3442503257597065	0.523416259108593	1.000001277669931e-09
28.0	1.4004717465357999	0.5345788669497854	1.0000013734917589e-09
29.0	1.3398369165185167	0.530755860448497	1.0000012897795384e-09
30.0	1.3912289760417071	0.543025895650474	1.0000022813067798e-09
31.0	1.4427427337450538	0.544936072424141	1.0000006315021676e-09
32.0	1.444855803522018	0.5435162468436869	1.0000005349108765e-09
33.0	1.4498718646389934	0.5444216204481032	1.0000042617524109e-09
34.0	1.4645087822095653	0.5441930300223603	1.0000003339338808e-09
35.0	1.4878545762016546	0.5451524921345672	1.0000005925327687e-09
36.0	1.5392033241050511	0.5536339632163237	1.0000005560564713e-09
37.0	1.5422287840911197	0.5357441128922444	1.000000499328096e-09
38.0	1.5663980710570313	0.5273557633808549	1.0000005075930211e-09
39.0	1.3877266307462868	0.5230431316740948	1e-09
40.0	1.3823601395742848	0.5215849327546649	1.000000303818534e-09
41.0	1.396142405525055	0.521529602344394	1.0000004629832222e-09
42.0	1.378843652430353	0.5200098356298655	1.0000007938030225e-09
43.0	1.4207826788232847	0.5256902014264035	1.0000007228630464e-09
44.0	1.4194614356940443	0.5240867801275906	1.0000025659003222e-09
45.0	1.416779540166031	0.5247752849278324	1.0000015076761661e-09
46.0	1.3056183999905464	0.524097002643195	1.0000002048976577e-09
47.0	1.3322931520602557	0.5308354737653246	1.0000006521635577e-09
48.0	1.366722258731581	0.5355195726391858	1e-09
49.0	1.3969511033314002	0.5397245469556612	1.000005810755232e-09
50.0	1.3142947788053607	0.5408139536844734	1.0000014739910873e-09
51.0	1.29524556037278	0.5395904916847765	1.0000870176995892e-09
52.0	1.3204721925826595	0.5457532929368861	1.0000001546181718e-09
53.0	1.342483514815973	0.548511457010348	1.0000014941036807e-09
54.0	3.724692364692329	1.1107270150463229	0.00561765055436835
55.0	1.2454684021428604	0.4891531306055398	1.000002330624174e-09
56.0	1.2538013548599904	0.48846580744118967	1.0000008063252042e-09
57.0	1.2659520377697364	0.4901122228924437	1e-09
58.0	1.2764880157022667	0.49152590771569327	1.000001088481613e-09
59.0	1.298271477248577	0.493749051188515	1.0000007079142497e-09
60.0	1.3181869460686448	0.49616762278252613	1.0000007180317218e-09
61.0	1.3454507427715756	0.5001361770889421	1e-09
62.0	1.3688806393069697	0.5048004958694292	1e-09
63.0	1.3908129810669485	0.5070427564820024	1.0000005637808344e-09
64.0	1.402518199984472	0.5079670149088573	1.000000968096547e-09
65.0	1.4198941862657628	0.5095159557243462	1.000045322870574e-09
66.0	1.425804156382715	0.5104535453557126	1.0000000793243188e-09
67.0	1.44775694484838	0.5134374344685739	1.0000010409931173e-09
68.0	1.4663864002230644	0.5130116448119575	1.0000007977469458e-09
69.0	1.464394292504052	0.5134391233117608	1.000000480806756e-09
70.0	1.4912151165416276	0.5162062512929175	1.000000000003545e-09
71.0	1.5137270180611677	0.5204643199105476	1.0000019278474272e-09
72.0	1.520572409534879	0.5213917647956494	1.000000000000012e-09
73.0	1.5322400999913368	0.5194641144784667	1.0000006730079393e-09
74.0	1.4400262631331142	0.5171643153214052	1e-09
75.0	1.447716589146052	0.5170120284172142	1.000001016494651e-09
76.0	1.4603328362085923	0.5148247348762021	1.0000009637525706e-09
77.0	1.4865646463635969	0.5179417795856252	1.0000009950831114e-09
78.0	1.3736140268328747	0.5148573418152192	1.0000014227124063e-09
79.0	1.3844749393102087	0.5159187077269174	1.0000014008868084e-09
80.0	1.3996556965089664	0.5167331783639952	1.0000000083059204e-09
81.0	1.3252423581298467	0.5157217441540888	1.0000017641055913e-09
82.0	1.2674430800084309	0.515990324064635	1.0000014893097609e-09
83.0	1.2484291675853467	0.5154756230740254	1.000000840445788e-09
84.0	1.2586454162079677	0.5165733085697688	1.0000018224863665e-09
85.0	1.2647586862160936	0.5099421756976629	1.0000016588334156e-09
86.0	1.2843235346913273	0.5129309698901994	1.0000016868770906e-09
87.0	1.2580724571677844	0.511970565798747	1.0000010374640966e-09
88.0	1.2303258042019307	0.5112267023108732	1.0000018226579397e-09
89.0	1.2401926790092364	0.512456036044681	1.0000016513088754e-09
90.0	1.212071801056005	0.5118232401942175	1.0000015306537265e-09
91.0	1.226732563176019	0.5148904009414884	1.0000025349169704e-09
92.0	1.160193587598192	0.512822585344153	1.000001307395301e-09
93.0	1.1740586639627566	0.5161456600245858	1.0000025574470606e-09
94.0	1.1839082822303018	0.5062189562420878	1.0000019689896859e-09
95.0	1.2009896618696785	0.5084619222329338	1e-09
96.0	1.2150219320866562	0.5092759150839834	1e-09
97.0	1.2325811710599093	0.5098012926991358	1.000000000000001e-09
98.0	1.2493043679156348	0.5125241241199648	1e-09
99.0	1.2323305186110063	0.5125036419203944	1.0000018429703435e-09
100.0	1.2471968165591034	0.5148669749251122	1.0000018637123397e-09
101.0	1.2619657806021816	0.5147645478698246	1.0000127679814354e-09
102.0	1.2780960940141848	0.516666441888522	1.000002418211727e-09
103.0	1.2848400659451042	0.5175178569424365	1.000007384685325e-09
104.0	1.289290254428624	0.5181921304403728	1.00000000000108e-09
105.0	1.2681170503774748	0.518038229184399	1.0000029789156716e-09
106.0	1.2826767320392438	0.5197644868397623	1.0000000190889265e-09
107.0	1.2195762057025419	0.5178516978232117	1.0000018461029878e-09
108.0	1.2334528730411294	0.5187381913387187	1.0000023851003788e-09
109.0	1.2453315198118295	0.5201251044197184	1.0000065893674586e-09
110.0	1.2111213646340422	0.5189204337673977	1.0000000000922561e-09
111.0	1.2256069656412931	0.5214932291659563	1e-09
112.0	1.2384761924444394	0.5242850063529239	1.0000032402424169e-09
