Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale
1.0	1.0253010840925607	0.04660426733792307	1e-06
2.0	1.0253010840925607	0.04660426733792307	1e-06
3.0	1.0348601925428298	0.04878038824756853	1e-06
4.0	1.0442686449983414	0.051564324516068016	1e-06
5.0	1.0549677930039967	0.05326786555158711	1e-06
6.0	1.0660817402851088	0.0540081856962178	1e-06
7.0	1.0797588183125915	0.057226074154839476	1e-06
8.0	1.089605294129825	0.06006527733655282	1e-06
9.0	1.0993667706329378	0.06208763414158246	1e-06
10.0	1.1191301154301534	0.06548449552001707	1e-06
11.0	1.1310977726733702	0.06705147711084179	1e-06
12.0	1.1127627951079195	0.06540313028087756	1e-06
13.0	1.1012127799258056	0.0641674189978909	1e-06
14.0	1.1321407118257927	0.06191128933186028	1e-06
15.0	1.14113984227938	0.05336263144075002	1e-06
16.0	1.1464429063296613	0.054496195691911324	1e-06
17.0	1.1373574853725832	0.04550648772587939	1e-06
18.0	1.1432285268685027	0.045520229861259504	1e-06
19.0	1.1473797739021447	0.04591181659072451	1e-06
20.0	1.15563104324732	0.043607903498762625	1e-06
21.0	1.1382180363153178	0.041904501108880346	1e-06
22.0	1.1622229475293233	0.04236369738110601	1e-06
23.0	1.1646350010802413	0.039658682509618196	1e-06
24.0	1.1624692300123263	0.03946897388270309	1e-06
25.0	1.2065666537442146	0.04273307865124698	1e-06
26.0	1.1837725834940587	0.041580013513896	1e-06
27.0	1.1758649379150927	0.04111999753213368	1e-06
28.0	1.1822442179497212	0.04138044521562187	1e-06
29.0	1.1840742319440856	0.040503878941196586	1e-06
30.0	1.1628205646464984	0.037422434239856195	1e-06
31.0	1.1753996731419385	0.03789319969617426	1e-06
32.0	1.1392929807804248	0.03331502418573393	1e-06
33.0	1.1304062265020558	0.03283852709401148	1e-06
34.0	1.1294363956710862	0.032742431992468304	1e-06
35.0	1.1281714900008475	0.03264901957602439	1e-06
36.0	1.121387455867152	0.030307458746847874	1e-06
37.0	1.136866202970078	0.03138513062426805	1e-06
38.0	1.1289082809610216	0.03101564438222477	1e-06
39.0	1.11961914296899	0.028127464948232008	1e-06
40.0	1.1576489593458503	0.03083306183537203	1e-06
41.0	1.150559871443702	0.03046455127586425	1e-06
42.0	1.101824445256039	0.02572982236686016	1e-06
43.0	1.1044430409585213	0.025791647583461804	1e-06
44.0	1.1018868092888834	0.025601037216338444	1e-06
45.0	1.107625792390455	0.025767628093808226	1e-06
46.0	1.1203341479536975	0.026433418239260164	1e-06
47.0	1.111481519282917	0.026123942308980762	1e-06
48.0	1.1131168982828328	0.0261921896460018	1e-06
49.0	1.1252232550899766	0.026721423347391672	1e-06
50.0	1.1246834633210876	0.026684653702999488	1e-06
51.0	1.1174882784687707	0.026360898885413313	1e-06
52.0	1.1166294082101729	0.026250251071700266	1e-06
53.0	1.1171878384229212	0.02627068324153315	1e-06
54.0	1.114627276632063	0.026059978081430974	1e-06
55.0	1.1234684925609237	0.026511112955204072	1e-06
56.0	1.1212932246874556	0.026398080815616665	1e-06
57.0	1.1141325722058917	0.02606251098155298	1e-06
58.0	1.107677221685048	0.025113471891427756	1e-06
59.0	1.1256027073951316	0.02601864075966294	1e-06
60.0	1.1185500120114433	0.025685453469926057	1e-06
61.0	1.118038920640006	0.02564260881016302	1e-06
62.0	1.1111740854533598	0.02532888516211024	1e-06
63.0	1.1352075819201901	0.02648955723269067	1e-06
64.0	1.1653295442746794	0.028232982636060142	1e-06
65.0	1.1673027163990182	0.028222174454024695	1e-06
66.0	1.1715721469047824	0.02855127725122816	1e-06
67.0	1.173164671293314	0.0286227802009748	1e-06
68.0	1.1690017606516039	0.0282601625170081	1e-06
69.0	1.1759218778813194	0.02859037975271311	1e-06
70.0	1.178595505843785	0.028674878165867345	1e-06
71.0	1.1746992729832022	0.02832176485468462	1e-06
72.0	1.1831463962455673	0.02878581162895612	1e-06
73.0	1.1948275803231128	0.029474746271853536	1e-06
